"region","species_name","species_qualified","cuid","cu_name_pse","year","estimated_count","observed_count","source_id"
"Nass","Steelhead","SH",480,"Nass Summer",2000,14717,437,"English_20230930"
"Nass","Steelhead","SH",480,"Nass Summer",2001,13285,513,"English_20230930"
"Nass","Steelhead","SH",480,"Nass Summer",2002,17879,308,"English_20230930"
"Nass","Steelhead","SH",480,"Nass Summer",2003,17210,30,"English_20230930"
"Nass","Steelhead","SH",480,"Nass Summer",2004,4577,318,"English_20230930"
"Nass","Steelhead","SH",480,"Nass Summer",2005,7842,389,"English_20230930"
"Nass","Steelhead","SH",480,"Nass Summer",2006,4902,168,"English_20230930"
"Nass","Steelhead","SH",480,"Nass Summer",2007,6309,210,"English_20230930"
"Nass","Steelhead","SH",480,"Nass Summer",2008,13920,69,"English_20230930"
"Nass","Steelhead","SH",480,"Nass Summer",2009,27244,51,"English_20230930"
"Nass","Steelhead","SH",480,"Nass Summer",2010,20229,651,"English_20230930"
"Nass","Steelhead","SH",480,"Nass Summer",2011,22831,61,"English_20230930"
"Nass","Steelhead","SH",480,"Nass Summer",2012,13790,330,"English_20230930"
"Nass","Steelhead","SH",480,"Nass Summer",2013,7873,231,"English_20230930"
"Nass","Steelhead","SH",480,"Nass Summer",2014,20256,487,"English_20230930"
"Nass","Steelhead","SH",480,"Nass Summer",2015,16056,166,"English_20230930"
"Nass","Steelhead","SH",480,"Nass Summer",2016,25359,387,"English_20230930"
"Nass","Steelhead","SH",480,"Nass Summer",2017,9658,209,"English_20230930"
"Nass","Steelhead","SH",480,"Nass Summer",2018,29892,31,"English_20230930"
"Nass","Steelhead","SH",480,"Nass Summer",2019,11627,202,"English_20230930"
"Nass","Steelhead","SH",480,"Nass Summer",2020,4211,119,"English_20230930"
"Nass","Steelhead","SH",480,"Nass Summer",2021,6139,81,"English_20230930"
"Nass","Steelhead","SH",480,"Nass Summer",2022,9819,230,"English_20230930"
"Nass","Steelhead","SH",480,"Nass Summer",2023,27000,77,"Nisgaa_20251202"
"Nass","Steelhead","SH",480,"Nass Summer",2024,13000,292,"Nisgaa_20251202"
"Nass","Steelhead","SH",480,"Nass Summer",2025,11000,141,"Nisgaa_20251202"
"Nass","Steelhead","SH",481,"Nass Winter",2001,NA,5,NA
"Nass","Steelhead","SH",481,"Nass Winter",2002,NA,26,NA
"Central Coast","Steelhead","SH",680,"North Coast Winter",2006,NA,146,NA
"Central Coast","Steelhead","SH",680,"North Coast Winter",2007,NA,76,NA
"Central Coast","Steelhead","SH",680,"North Coast Winter",2009,NA,26,NA
"Central Coast","Steelhead","SH",680,"North Coast Winter",2010,NA,52,NA
"Central Coast","Steelhead","SH",680,"North Coast Winter",2011,NA,100,NA
"Central Coast","Steelhead","SH",680,"North Coast Winter",2012,NA,53,NA
"Central Coast","Steelhead","SH",680,"North Coast Winter",2013,NA,78,NA
"Central Coast","Steelhead","SH",680,"North Coast Winter",2014,NA,28,NA
"Central Coast","Steelhead","SH",680,"North Coast Winter",2015,NA,45,NA
"Central Coast","Steelhead","SH",680,"North Coast Winter",2016,NA,66,NA
"Central Coast","Steelhead","SH",683,"Transition Summer",1977,NA,154,NA
"Central Coast","Steelhead","SH",683,"Transition Summer",1978,NA,NA,NA
"Central Coast","Steelhead","SH",683,"Transition Summer",1979,NA,NA,NA
"Central Coast","Steelhead","SH",683,"Transition Summer",1980,NA,NA,NA
"Central Coast","Steelhead","SH",683,"Transition Summer",1981,NA,NA,NA
"Central Coast","Steelhead","SH",683,"Transition Summer",1982,NA,90,NA
"Central Coast","Steelhead","SH",683,"Transition Summer",1983,NA,NA,NA
"Central Coast","Steelhead","SH",683,"Transition Summer",1984,NA,NA,NA
"Central Coast","Steelhead","SH",683,"Transition Summer",1985,NA,NA,NA
"Central Coast","Steelhead","SH",683,"Transition Summer",1986,NA,NA,NA
"Central Coast","Steelhead","SH",683,"Transition Summer",1987,NA,NA,NA
"Central Coast","Steelhead","SH",683,"Transition Summer",1988,NA,NA,NA
"Central Coast","Steelhead","SH",683,"Transition Summer",1989,NA,NA,NA
"Central Coast","Steelhead","SH",683,"Transition Summer",1990,NA,NA,NA
"Central Coast","Steelhead","SH",683,"Transition Summer",1991,NA,93,NA
"Central Coast","Steelhead","SH",683,"Transition Summer",1992,NA,NA,NA
"Central Coast","Steelhead","SH",683,"Transition Summer",1993,NA,NA,NA
"Central Coast","Steelhead","SH",683,"Transition Summer",1994,NA,NA,NA
"Central Coast","Steelhead","SH",683,"Transition Summer",1995,NA,46,NA
"Central Coast","Steelhead","SH",683,"Transition Summer",1996,NA,100,NA
"Central Coast","Steelhead","SH",683,"Transition Summer",1997,NA,200,NA
"Central Coast","Steelhead","SH",683,"Transition Summer",1998,NA,220,NA
"Central Coast","Steelhead","SH",683,"Transition Summer",1999,NA,452,NA
"Central Coast","Steelhead","SH",683,"Transition Summer",2000,NA,151,NA
"Central Coast","Steelhead","SH",683,"Transition Summer",2001,NA,540,NA
"Central Coast","Steelhead","SH",683,"Transition Summer",2002,NA,294,NA
"Central Coast","Steelhead","SH",683,"Transition Summer",2003,NA,184,NA
"Central Coast","Steelhead","SH",683,"Transition Summer",2004,NA,350,NA
"Central Coast","Steelhead","SH",683,"Transition Summer",2005,NA,NA,NA
"Central Coast","Steelhead","SH",683,"Transition Summer",2006,NA,324,NA
"Fraser","Steelhead","SH",780,"Mid Fraser Summer",1972,960,960,"Bison_20210820"
"Fraser","Steelhead","SH",780,"Mid Fraser Summer",1973,1435,1435,"Bison_20210820"
"Fraser","Steelhead","SH",780,"Mid Fraser Summer",1974,677,677,"Bison_20210820"
"Fraser","Steelhead","SH",780,"Mid Fraser Summer",1975,581,581,"Bison_20210820"
"Fraser","Steelhead","SH",780,"Mid Fraser Summer",1976,1022,1022,"Bison_20210820"
"Fraser","Steelhead","SH",780,"Mid Fraser Summer",1977,494,494,"Bison_20210820"
"Fraser","Steelhead","SH",780,"Mid Fraser Summer",1978,1152,1152,"Bison_20210820"
"Fraser","Steelhead","SH",780,"Mid Fraser Summer",1979,715,715,"Bison_20210820"
"Fraser","Steelhead","SH",780,"Mid Fraser Summer",1980,893,893,"Bison_20210820"
"Fraser","Steelhead","SH",780,"Mid Fraser Summer",1981,586,586,"Bison_20210820"
"Fraser","Steelhead","SH",780,"Mid Fraser Summer",1982,936,936,"Bison_20210820"
"Fraser","Steelhead","SH",780,"Mid Fraser Summer",1983,1531,1531,"Bison_20210820"
"Fraser","Steelhead","SH",780,"Mid Fraser Summer",1984,1133,1133,"Bison_20210820"
"Fraser","Steelhead","SH",780,"Mid Fraser Summer",1985,3149,3149,"Bison_20210820"
"Fraser","Steelhead","SH",780,"Mid Fraser Summer",1986,1992,1992,"Bison_20210820"
"Fraser","Steelhead","SH",780,"Mid Fraser Summer",1987,2328,2328,"Bison_20210820"
"Fraser","Steelhead","SH",780,"Mid Fraser Summer",1988,2342,2342,"Bison_20210820"
"Fraser","Steelhead","SH",780,"Mid Fraser Summer",1989,610,610,"Bison_20210820"
"Fraser","Steelhead","SH",780,"Mid Fraser Summer",1990,403,403,"Bison_20210820"
"Fraser","Steelhead","SH",780,"Mid Fraser Summer",1991,466,466,"Bison_20210820"
"Fraser","Steelhead","SH",780,"Mid Fraser Summer",1992,542,542,"Bison_20210820"
"Fraser","Steelhead","SH",780,"Mid Fraser Summer",1993,1546,1546,"Bison_20210820"
"Fraser","Steelhead","SH",780,"Mid Fraser Summer",1994,917,917,"Bison_20210820"
"Fraser","Steelhead","SH",780,"Mid Fraser Summer",1995,830,830,"Bison_20210820"
"Fraser","Steelhead","SH",780,"Mid Fraser Summer",1996,518,518,"Bison_20210820"
"Fraser","Steelhead","SH",780,"Mid Fraser Summer",1997,1373,1373,"Bison_20210820"
"Fraser","Steelhead","SH",780,"Mid Fraser Summer",1998,672,672,"Bison_20210820"
"Fraser","Steelhead","SH",780,"Mid Fraser Summer",1999,744,744,"Bison_20210820"
"Fraser","Steelhead","SH",780,"Mid Fraser Summer",2000,739,894,"Bison_20210820"
"Fraser","Steelhead","SH",780,"Mid Fraser Summer",2001,1258,1258,"Bison_20210820"
"Fraser","Steelhead","SH",780,"Mid Fraser Summer",2002,1114,1114,"Bison_20210820"
"Fraser","Steelhead","SH",780,"Mid Fraser Summer",2003,917,917,"Bison_20210820"
"Fraser","Steelhead","SH",780,"Mid Fraser Summer",2004,254,254,"Bison_20210820"
"Fraser","Steelhead","SH",780,"Mid Fraser Summer",2005,384,384,"Bison_20210820"
"Fraser","Steelhead","SH",780,"Mid Fraser Summer",2006,552,552,"Bison_20210820"
"Fraser","Steelhead","SH",780,"Mid Fraser Summer",2007,374,374,"Bison_20210820"
"Fraser","Steelhead","SH",780,"Mid Fraser Summer",2008,158,158,"Bison_20210820"
"Fraser","Steelhead","SH",780,"Mid Fraser Summer",2009,350,350,"Bison_20210820"
